SalePrice,id
117350.47021227438,1461
154581.0638035302,1462
184105.7034893581,1463
199608.88492592273,1464
196248.86725325458,1465
171075.0806878695,1466
177842.07230988008,1467
158966.0698959669,1468
196904.11030117536,1469
118623.27444788009,1470
188783.90769037858,1471
99383.08048417735,1472
95299.2693017956,1473
143012.83887808144,1474
105737.24608516727,1475
365487.02796712617,1476
244000.19494036929,1477
291413.1051710751,1478
292426.1006738601,1479
500929.0925102148,1480
326911.33436341013,1481
207125.64713685703,1482
181471.55928629823,1483
157630.43911270224,1484
189411.57407045344,1485
194951.14525354054,1486
330672.31923649873,1487
231929.08466807345,1488
189672.1002055798,1489
240374.7421232264,1490
195316.1645684142,1491
93559.0224484641,1492
184225.13677217267,1493
285213.9045237003,1494
289392.4930710597,1495
232276.0393690897,1496
181924.5868591745,1497
171383.1969373461,1498
163286.57952116124,1499
156240.72264952044,1500
177232.22550341598,1501
146374.74726202755,1502
290961.23600983666,1503
239335.27145508624,1504
224787.55004311312,1505
193286.82463300525,1506
249490.01289678056,1507
199122.1782637201,1508
160616.16330885567,1509
142619.2361410202,1510
152735.8051328362,1511
179213.09521581922,1512
148611.09198848644,1513
158622.2147283177,1514
198681.29149369578,1515
156946.8478666578,1516
173792.4162542241,1517
132896.44569422147,1518
209717.92375423797,1519
125404.8298365171,1520
130821.64188306086,1521
181180.93081737787,1522
112306.05550250868,1523
124948.88305956613,1524
119768.46168610956,1525
110354.56229268618,1526
106969.7506978179,1527
140632.35969706654,1528
149473.73712242764,1529
185615.7975254871,1530
103781.56948677104,1531
97236.1332425077,1532
149170.9870783587,1533
126372.04170927791,1534
152810.81488097075,1535
108971.598115967,1536
56548.85616724442,1537
145606.22520039135,1538
182087.45779122,1539
92716.59202314202,1540
137759.25552673716,1541
145558.46036025594,1542
187191.13975812288,1543
87720.77930626992,1544
117602.40550317604,1545
133725.6676191819,1546
129543.93941039382,1547
139531.0042028554,1548
120581.4272194464,1549
131931.85839137333,1550
106786.33674627633,1551
134170.1461523747,1552
147707.38085906385,1553
118397.25015626666,1554
159252.6810204065,1555
